s_sd_Canonical\_QSARr,s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,dsstox_substance_id,preferred_name,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR
Nc1cc(Cl)cc(C(O)=O)c1Cl,133-90-4,-7.633463481,-7.931260931,-7.372814698,-7.64584637,0,0.150236207,0.155576477,0,0.96567431,133-90-4,133-90-4,262,20262,DTXSID2020262,Chloramben,Nc1cc(Cl)cc(C(O)=O)c1Cl,"InChI=1S/C7H5Cl2NO2/c8-3-1-4(7(11)12)6(9)5(10)2-3/h1-2H,10H2,(H,11,12)",HSSBORCLYSCBJR-UHFFFAOYSA-N,0,0.9029,0.9033,0.045999491,0
CC=Cc1cc(OC)c(O)cc1,97-54-1,-7.18836733,-9.125875596,-7.372358784,-7.895533903,0,0.15020823,0.155601103,0,0.965341676,97-54-1,97-54-1,2413,22413,DTXSID7022413,Isoeugenol,CC=Cc1cc(OC)c(O)cc1,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3-7,11H,1-2H3",BJIOGJUNALELMI-UHFFFAOYSA-N,0,0.8975,0.9075,0.098074088,0
,104098-48-8,0,-8.663068755,-7.367757431,-5.343608729,0,0.149925695,0.155849416,0,0.961990745,104098-48-8,104098-48-8,14270,34270,DTXSID5034270,Imazapic,Cc1c[n]c(c(c1)C(O)=O)C1NC(C)(C(C)C)C(=O)N=1,"InChI=1S/C14H17N3O3/c1-7(2)14(4)13(20)16-11(17-14)10-9(12(18)19)5-8(3)6-15-10/h5-7H,1-4H3,(H,18,19)(H,16,17,20)",PVSGXWMWNRGTKE-UHFFFAOYSA-N,0,0.902,0.909,0.071410194,0
Cc1cc(C)[n]c(Nc2ccccc2)[n]1,53112-28-0,-7.548194907,-7.842987714,-7.364473711,-7.585218777,0,0.149723877,0.156026364,0,0.959606267,53112-28-0,53112-28-0,14877,34877,DTXSID8034877,Pyrimethanil,Cc1cc(C)[n]c(Nc2ccccc2)[n]1,"InChI=1S/C12H13N3/c1-9-8-10(2)14-12(13-9)15-11-6-4-3-5-7-11/h3-8H,1-2H3,(H,13,14,15)",ZLIBICFPKPWGIZ-UHFFFAOYSA-N,0,0.9073,0.906,0.035885698,0
C1CCCCC1NC1CCCCC1,101-83-7,-7.729342679,-7.172585787,-7.359869567,-7.420599344,0,0.149440641,0.156274102,0,0.956272595,101-83-7,101-83-7,5018,25018,DTXSID6025018,Dicyclohexylamine,C1CCCCC1NC1CCCCC1,"InChI=1S/C12H23N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-13H,1-10H2",XBPCUCUWBYBCDP-UHFFFAOYSA-N,0,0.9723,0.9791,0.008100588,0
OC(=O)C1C(C2CCC1O2)C(O)=O,145-73-3,-7.465131117,-7.942905942,-7.357527211,-7.588521423,1,0.149296428,0.156399974,0,0.954580898,145-73-3,145-73-3,4081,24081,DTXSID7024081,Endothal,OC(=O)C1C(C2CCC1O2)C(O)=O,"InChI=1S/C8H10O5/c9-7(10)5-3-1-2-4(13-3)6(5)8(11)12/h3-6H,1-2H2,(H,9,10)(H,11,12)",GXEKYRXVRROBEV-UHFFFAOYSA-N,1,0.9346,0.9352,0.017429536,0
CC(C)(C)C1CCC(O)CC1,98-52-2,-7.58147115,-6.839011874,-7.351191361,-7.257224795,0,0.148905954,0.156739889,0,0.950019522,98-52-2,98-52-2,6623,26623,DTXSID5026623,4-tert-Butylcyclohexanol,CC(C)(C)C1CCC(O)CC1,"InChI=1S/C10H20O/c1-10(2,3)8-4-6-9(11)7-5-8/h8-9,11H,4-7H2,1-3H3",CCOQPGVQAWPUPE-UHFFFAOYSA-N,0,0.9416,0.9512,0.025202953,0
Oc1cc2ccccc2cc1,135-19-3,-8.28298468,-8.390664134,-7.350226211,-8.007958342,0,0.148846423,0.156791597,0,0.949326536,135-19-3,135-19-3,7061,27061,DTXSID5027061,2-Naphthalenol,Oc1cc2ccccc2cc1,"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H",JWAZRIHNYRIHIV-UHFFFAOYSA-N,0,0.8914,0.908,0.168054119,0
c1ccccc1Nc1ccccc1,122-39-4,-8.069389613,-7.864259016,-7.346225858,-7.759958163,0,0.14859954,0.157005711,0,0.94645946,122-39-4,122-39-4,1975,21975,DTXSID4021975,Diphenylamine,c1ccccc1Nc1ccccc1,"InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H",DMBHHRLKUKUOEG-UHFFFAOYSA-N,0,0.9198,0.916,0.020504669,0
COc1cc(CC=C)ccc1O,97-53-0,-6.681810278,-7.41546626,-7.344756563,-7.147344367,0,0.148508807,0.157084271,0,0.945408513,97-53-0,97-53-0,617,20617,DTXSID9020617,Eugenol,COc1cc(CC=C)ccc1O,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,0,0.8909,0.8949,0.080832296,0
c1ccccc1-c1ccccc1,92-52-4,-7.869824247,-8.015051716,-7.342381765,-7.742419243,0,0.148362093,0.157211151,0,0.943712275,92-52-4,92-52-4,161,20161,DTXSID4020161,Biphenyl,c1ccccc1-c1ccccc1,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,0,0.9152,0.9128,0.025835266,0
O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)CO,69-65-8,-6.97463098,-7.147798855,-7.330909938,-7.151113258,0,0.14765229,0.157822406,0,0.935559745,69-65-8,69-65-8,3235,23235,DTXSID1023235,D-Mannitol,O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",FBPFZTCFMRRESA-KVTDHHQDSA-N,0,0.9573,0.9378,0.002206092,0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,29122-68-7,-9.746369514,-9.326618598,-7.32951308,-8.80083373,0,0.147565741,0.157896646,0,0.934571728,29122-68-7,29122-68-7,2628,22628,DTXSID2022628,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N,0,0.8845,0.8802,0.057594957,0
CCCCCCOc1ccccc1C(O)=O,6259-76-3,-7.442478595,-7.541072311,-7.325484548,-7.436345151,0,0.147315991,0.158110521,0,0.931727947,6259-76-3,6259-76-3,18924,38924,DTXSID4038924,Hexyl salicylate,CCCCCCOc1ccccc1C(O)=O,"InChI=1S/C13H18O3/c1-2-3-4-7-10-16-12-9-6-5-8-11(12)13(14)15/h5-6,8-9H,2-4,7,10H2,1H3,(H,14,15)",BVLVGYXYGXOSOG-UHFFFAOYSA-N,0,0.8679,0.8482,0.035440067,0
CCC(C)(C)C1CCC(O)CC1,5349-51-9,-7.067286697,-7.631024802,-7.318475766,-7.338929089,0,0.146880978,0.158481792,0,0.926800332,5349-51-9,5349-51-9,20716,40716,DTXSID9040716,4-(2-Methylbutan-2-yl)cyclohexanol,CCC(C)(C)C1CCC(O)CC1,"InChI=1S/C11H22O/c1-4-11(2,3)9-5-7-10(12)8-6-9/h9-10,12H,4-8H2,1-3H3",VDQZABQVXYELSI-UHFFFAOYSA-N,0,0.9291,0.9341,0.02683925,0
C(Nc1:[nH]:c:[n]:c2:[n]:c:[n]:c-2:1)c1ccccc1,1214-39-7,-7.536850533,-6.851197028,-7.310301026,-7.232782863,0,0.146372806,0.158913487,0,0.921084851,1214-39-7,1214-39-7,12630,32630,DTXSID7032630,N-Benzyladenine,C(Nc1:[nH]:c:[n]:c2:[n]:c:[n]:c-2:1)c1ccccc1,"InChI=1S/C12H11N5/c1-2-4-9(5-3-1)6-13-11-10-12(15-7-14-10)17-8-16-11/h1-5,7-8H,6H2,(H2,13,14,15,16,17)",NWBJYWHLCVSVIJ-UHFFFAOYSA-N,0,0.925,0.9265,0.024103194,0
CCC(C)c1ccc(O)cc1,99-71-8,-7.302423427,-6.261900596,-7.309597943,-6.957973989,0,0.14632906,0.158950548,0,0.920594878,99-71-8,99-71-8,2332,22332,DTXSID7022332,4-(Butan-2-yl)phenol,CCC(C)c1ccc(O)cc1,"InChI=1S/C10H14O/c1-3-8(2)9-4-6-10(11)7-5-9/h4-8,11H,3H2,1-2H3",ZUTYZAFDFLLILI-UHFFFAOYSA-N,0,0.8797,0.8841,0.11159727,0
CC1(N=C(NC1=O)c1[n]cccc1C(O)=O)C(C)C,81334-34-1,-8.134477931,-6.46364745,-7.299408879,-7.299178087,0,0.14569442,0.159486412,0,0.913522464,81334-34-1,81334-34-1,14665,34665,DTXSID8034665,Imazapyr,CC1(N=C(NC1=O)c1[n]cccc1C(O)=O)C(C)C,"InChI=1S/C13H15N3O3/c1-7(2)13(3)12(19)15-10(16-13)9-8(11(17)18)5-4-6-14-9/h4-7H,1-3H3,(H,17,18)(H,15,16,19)",CLQMBPJKHLGMQK-UHFFFAOYSA-N,0,0.8927,0.898,0.080726971,0
CSc1ccc(cc1)OP(=S)(OCC)SCCC,35400-43-2,-7.46449725,-7.294440701,-7.298471693,-7.352469881,0,0.145635983,0.159535586,0,0.912874595,35400-43-2,35400-43-2,12675,32675,DTXSID8032675,Sulprofos,CSc1ccc(cc1)OP(=S)(OCC)SCCC,"InChI=1S/C12H19O2PS3/c1-4-10-18-15(16,13-5-2)14-11-6-8-12(17-3)9-7-11/h6-9H,4-5,10H2,1-3H3",JXHJNEJVUNHLKO-UHFFFAOYSA-N,0,0.9056,0.9048,0.037341664,0
,71526-07-3,0,-7.05340789,-7.296968334,-4.783458741,0,0.145542221,0.159614425,0,0.911836264,71526-07-3,71526-07-3,24575,44575,DTXSID0044575,MON-4660,O=C(C(Cl)Cl)N1CCOC21CCCCC2,"InChI=1S/C10H15Cl2NO2/c11-8(12)9(14)13-6-7-15-10(13)4-2-1-3-5-10/h8H,1-7H2",QWWHRELOCZEQNZ-UHFFFAOYSA-N,0,0.9204,0.9284,0.041904317,0
,1031-07-8,0,0,-7.282807977,-2.427602659,0,0.144657753,0.160354535,0,0.902112022,1031-07-8,1031-07-8,17541,37541,DTXSID3037541,Endosulfan sulfate,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,"InChI=1S/C9H6Cl6O4S/c10-5-6(11)8(13)4-2-19-20(16,17)18-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2",AAPVQEMYVNZIOO-UHFFFAOYSA-N,0,0.9259,0.9491,0.091486626,0
Cc1ccc(c(O)c1)C(C)(C)C,88-60-8,-7.601788724,-8.074326498,-7.277919685,-7.651344969,0,0.144351891,0.160608973,0,0.898778493,88-60-8,88-60-8,6529,26529,DTXSID2026529,2-tert-Butyl-5-methylphenol,Cc1ccc(c(O)c1)C(C)(C)C,"InChI=1S/C11H16O/c1-8-5-6-9(10(12)7-8)11(2,3)4/h5-7,12H,1-4H3",XOUQAVYLRNOXDO-UHFFFAOYSA-N,0,0.8892,0.903,0.145847963,0
Cc1ccc(cc1)S(=O)(=O)NCCCC,1907-65-9,-7.654831062,-7.743415589,-7.269861885,-7.556036179,0,0.143847128,0.161027189,0,0.893309566,1907-65-9,1907-65-9,22198,42198,DTXSID7042198,N-Butyl-p-toluenesulfonamide,Cc1ccc(cc1)S(=O)(=O)NCCCC,"InChI=1S/C11H17NO2S/c1-3-4-9-12-15(13,14)11-7-5-10(2)6-8-11/h5-8,12H,3-4,9H2,1-2H3",RQUXYBHREKXNKT-UHFFFAOYSA-N,0,0.8902,0.8806,0.03320096,0
,127-39-9,0,0,-7.269830127,-2.423276709,0,0.143845137,0.161028834,0,0.893288075,127-39-9,127-39-9,9164,29164,DTXSID7029164,"Sodium 1,4-diisobutyl sulfosuccinate",CC(C)COC(=O)C(CC(=O)OCC(C)C)S(O)(=O)=O,"InChI=1S/C12H22O7S/c1-8(2)6-18-11(13)5-10(20(15,16)17)12(14)19-7-9(3)4/h8-10H,5-7H2,1-4H3,(H,15,16,17)",NNARPPSIYMCXMB-UHFFFAOYSA-N,0,0.9312,0.9107,0.00450514,0
CCCCCc1ccc(Cl)cc1,79098-20-7,-7.382151045,-7.782869065,-7.262447027,-7.475822379,0,0.143382015,0.161410705,0,0.88830549,79098-20-7,79098-20-7,28181,48206,DTXSID6048206,4-Chloropentylbenzene,CCCCCc1ccc(Cl)cc1,"InChI=1S/C11H15Cl/c1-2-3-4-5-10-6-8-11(12)9-7-10/h6-9H,2-5H2,1H3",GPRIKJSAAYMDPC-UHFFFAOYSA-N,0,0.8751,0.8796,0.124023506,0
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,32809-16-8,-7.932508957,-7.570827956,-7.249078804,-7.584138572,1,0.142541999,0.16209888,0,0.879352156,32809-16-8,32809-16-8,13923,33923,DTXSID9033923,Procymidone,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,"InChI=1S/C13H11Cl2NO2/c1-12-6-13(12,2)11(18)16(10(12)17)9-4-7(14)3-8(15)5-9/h3-5H,6H2,1-2H3",QXJKBPAVAHBARF-UHFFFAOYSA-N,1,0.8818,0.9139,0.418715648,0
Nc1cccc2c1cccc2N,2243-62-1,-7.858297777,-7.972986526,-7.24826133,-7.693181877,0,0.142490572,0.162140824,0,0.878807499,2243-62-1,2243-62-1,916,20916,DTXSID3020916,"1,5-Naphthalenediamine",Nc1cccc2c1cccc2N,"InChI=1S/C10H10N2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1-6H,11-12H2",KQSABULTKYLFEV-UHFFFAOYSA-N,0,0.9235,0.9243,0.023131188,0
OCC(CBr)(CBr)CO,3296-90-0,-6.369279303,-5.561628484,-7.245571941,-6.392159909,0,0.142321337,0.162278704,0,0.87701795,3296-90-0,3296-90-0,164,20164,DTXSID9020164,"2,2-Bis(bromomethyl)-1,3-propanediol",OCC(CBr)(CBr)CO,"InChI=1S/C5H10Br2O2/c6-1-5(2-7,3-8)4-9/h8-9H,1-4H2",CHUGKEQJSLOLHL-UHFFFAOYSA-N,0,0.9672,0.9609,0.0036748,0
,86-30-6,0,0,-7.227189403,-2.409063134,0,0.14116268,0.163216463,0,0.864880155,86-30-6,86-30-6,1030,21030,DTXSID6021030,N-Nitrosodiphenylamine,O=NN(c1ccccc1)c1ccccc1,InChI=1S/C12H10N2O/c15-13-14(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,UBUCNCOMADRQHX-UHFFFAOYSA-N,0,0.9138,0.908,0.019984216,0
CN(C)c1ccc(cc1)N=NS(O)(=O)=O,140-56-7,-7.376442828,-7.592329664,-7.226224508,-7.398332333,0,0.141101773,0.163265458,0,0.864247559,140-56-7,140-56-7,619,40371,DTXSID6040371,Fenaminosulf,CN(C)c1ccc(cc1)N=NS(O)(=O)=O,"InChI=1S/C8H11N3O3S/c1-11(2)8-5-3-7(4-6-8)9-10-15(12,13)14/h3-6H,1-2H3,(H,12,13,14)/b10-9+",FLTYACUMGDVPLP-MDZDMXLPSA-N,0,0.9094,0.9109,0.036778917,0
Clc1ccccc1Nc1[n]c(Cl)[n]c(Cl)[n]1,101-05-3,-7.324429285,-7.581383629,-7.210445224,-7.372086046,0,0.140104552,0.164063415,0,0.85396584,101-05-3,101-05-3,89,20089,DTXSID9020089,Anilazine,Clc1ccccc1Nc1[n]c(Cl)[n]c(Cl)[n]1,"InChI=1S/C9H5Cl3N4/c10-5-3-1-2-4-6(5)13-9-15-7(11)14-8(12)16-9/h1-4H,(H,13,14,15,16)",IMHBYKMAHXWHRP-UHFFFAOYSA-N,0,0.9167,0.9243,0.043167171,0
CC1(C)NC(=O)N(C1=O)c1cc(c(cc1)[N+]([O-])=O)C(F)(F)F,63612-50-0,-9.759444365,-9.05604484,-7.205820511,-8.673769905,1,0.139811864,0.164296106,0,0.850974909,63612-50-0,63612-50-0,14165,34165,DTXSID3034165,Nilutamide,CC1(C)NC(=O)N(C1=O)c1cc(c(cc1)[N+]([O-])=O)C(F)(F)F,"InChI=1S/C12H10F3N3O4/c1-11(2)9(19)17(10(20)16-11)6-3-4-8(18(21)22)7(5-6)12(13,14)15/h3-5H,1-2H3,(H,16,20)",XWXYUMMDTVBTOU-UHFFFAOYSA-N,1,0.894,0.9222,0.268064244,0
CN1C(=O)c2[nH]c[n]c2N(C)C1=O,58-55-9,-5.203094874,-5.982802603,-7.195219415,-6.127038964,0,0.139140265,0.16482745,0,0.844157114,58-55-9,58-55-9,1336,21336,DTXSID5021336,Theophylline,CN1C(=O)c2[nH]c[n]c2N(C)C1=O,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",ZFXYFBGIUFBOJW-UHFFFAOYSA-N,0,0.9252,0.9275,0.023372717,0
c1ccccc1NNc1ccccc1,122-66-7,-7.74825212,-7.709593027,-7.189198217,-7.549014455,0,0.138758403,0.165127962,0,0.840308337,122-66-7,122-66-7,710,20710,DTXSID7020710,"1,2-Diphenylhydrazine",c1ccccc1NNc1ccccc1,"InChI=1S/C12H12N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10,13-14H",YBQZXXMEJHZYMB-UHFFFAOYSA-N,0,0.917,0.9141,0.021344493,0
C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl,35554-44-0,-7.142207415,-7.995103815,-7.16728872,-7.43486665,1,0.137366568,0.166213485,0,0.826446592,35554-44-0,35554-44-0,4151,24151,DTXSID8024151,Imazalil,C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl,"InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2",PZBPKYOVPCNPJY-UHFFFAOYSA-N,1,0.9053,0.9263,0.133558712,0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,58-93-5,-7.731085034,-7.640743702,-7.165346544,-7.51239176,0,0.137243019,0.166309101,0,0.825228554,58-93-5,58-93-5,713,20713,DTXSID2020713,Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,"InChI=1S/C7H8ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-2,10-11H,3H2,(H2,9,12,13)",JZUFKLXOESDKRF-UHFFFAOYSA-N,0,0.9218,0.935,0.051404005,0
CCCCc1ccc(O)cc1,1638-22-8,-6.93738832,-7.364784916,-7.151005067,-7.151059435,0,0.136329911,0.167012036,0,0.81628794,1638-22-8,1638-22-8,27425,47425,DTXSID3047425,4-Butylphenol,CCCCc1ccc(O)cc1,"InChI=1S/C10H14O/c1-2-3-4-9-5-7-10(11)8-6-9/h5-8,11H,2-4H2,1H3",CYYZDBDROVLTJU-UHFFFAOYSA-N,0,0.8708,0.8744,0.124065481,0
Cc1[n]cc(CO)c(CO)c1O,65-23-6|58-56-0,-6.068928979,-6.730835923,-7.146082475,-6.648615792,0,0.136016183,0.167252033,0,0.813240831,65-23-6,65-23-6|58-56-0,3541|10780,23541|40792,DTXSID4023541|DTXSID1040792,Pyridoxine|Pyridoxine hydrochloride,Cc1[n]cc(CO)c(CO)c1O,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",LXNHXLLTXMVWPM-UHFFFAOYSA-N,0,0.9155,0.9165,0.028040534,0
O[C@H](CO)[C@H]1OC(=O)C(O)=C1O,6381-77-7,-6.561067685,-6.091184964,-7.145445934,-6.599232861,0,0.135975603,0.167283019,0,0.812847615,6381-77-7,6381-77-7,570,20570,DTXSID5020570,Sodium erythorbate ,O[C@H](CO)[C@H]1OC(=O)C(O)=C1O,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5-/m1/s1",CIWBSHSKHKDKBQ-DUZGATOHSA-N,0,0.9191,0.923,0.030301484,0
CC(C)c1cccc(C(C)C)c1O,2078-54-8,-8.143525132,-8.242584138,-7.137325589,-7.841144953,0,0.135457714,0.167677336,0,0.807847483,2078-54-8,2078-54-8,3523,23523,DTXSID6023523,Propofol,CC(C)c1cccc(C(C)C)c1O,"InChI=1S/C12H18O/c1-8(2)10-6-5-7-11(9(3)4)12(10)13/h5-9,13H,1-4H3",OLBCVFGFOZPWHH-UHFFFAOYSA-N,0,0.8974,0.8968,0.043684007,0
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,23564-05-8,-5.641765173,-7.504380956,-7.136691208,-6.760945779,0,0.135417239,0.167708065,0,0.807458117,23564-05-8,23564-05-8,4338,24338,DTXSID1024338,Thiophanate-methyl,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,"InChI=1S/C12H14N4O4S2/c1-19-11(17)15-9(21)13-7-5-3-4-6-8(7)14-10(22)16-12(18)20-2/h3-6H,1-2H3,(H2,13,15,17,21)(H2,14,16,18,22)",QGHREAKMXXNCOA-UHFFFAOYSA-N,0,0.893,0.8822,0.02582431,0
Cc1cc(ccc1/N=N/c1c2ccccc2ccc1O)S(O)(=O)=O,5850-86-2,-9.25846368,-10.11686113,-7.134507089,-8.836610635,0,0.135277867,0.167813777,0,0.806118956,5850-86-2,5850-86-2,21709,41709,DTXSID2041709,"C.I. Acid Orange 8, monosodium salt",Cc1cc(ccc1/N=N/c1c2ccccc2ccc1O)S(O)(=O)=O,"InChI=1S/C17H14N2O4S/c1-11-10-13(24(21,22)23)7-8-15(11)18-19-17-14-5-3-2-4-12(14)6-9-16(17)20/h2-10,20H,1H3,(H,21,22,23)/b19-18+",FEACTMUAXQJDBH-VHEBQXMUSA-N,0,0.901,0.9068,0.0587819,0
Clc1c(Cl)c(Cl)[n]c(Cl)c1Cl,2176-62-7,-7.420831028,-7.696577483,-7.131492553,-7.416300355,0,0.135085459,0.167959465,0,0.804274168,2176-62-7,2176-62-7,2179,22179,DTXSID2022179,Pentachloropyridine,Clc1c(Cl)c(Cl)[n]c(Cl)c1Cl,InChI=1S/C5Cl5N/c6-1-2(7)4(9)11-5(10)3(1)8,DNDPLEAVNVOOQZ-UHFFFAOYSA-N,0,0.9567,0.9633,0.011167395,0
CC(Oc1cccc(Cl)c1)C(O)=O,101-10-0,-7.39275754,-7.680484421,-7.118405341,-7.397215768,0,0.134249557,0.168589022,0,0.796312564,101-10-0,101-10-0,14232,34232,DTXSID9034232,Cloprop,CC(Oc1cccc(Cl)c1)C(O)=O,"InChI=1S/C9H9ClO3/c1-6(9(11)12)13-8-4-2-3-7(10)5-8/h2-6H,1H3,(H,11,12)",YNTJKQDWYXUTLZ-UHFFFAOYSA-N,0,0.8699,0.8682,0.090920762,0
CC1CN(/N=C/c2c[n]ccc2)C(=O)N=N1 |t:15|,123312-89-0,-7.098686928,-7.536084206,-7.115403685,-7.250058273,0,0.134057706,0.16873274,0,0.794497298,123312-89-0,123312-89-0,12637,32637,DTXSID2032637,Pymetrozine,CC1CN(/N=C/c2c[n]ccc2)C(=O)N=N1 |t:15|,"InChI=1S/C10H11N5O/c1-8-7-15(10(16)14-13-8)12-6-9-3-2-4-11-5-9/h2-6,8H,7H2,1H3/b12-6+",XZCIYWQHDFDJIN-WUXMJOGZSA-N,0,0.9097,0.9218,0.066650404,0
CCCCCCC(=O)c1ccccc1,1671-75-6,-6.815985813,-7.676320422,-7.111767402,-7.201357879,0,0.133825231,0.168906503,0,0.792303605,1671-75-6,1671-75-6,28169,48194,DTXSID9048194,Heptanophenone,CCCCCCC(=O)c1ccccc1,"InChI=1S/C13H18O/c1-2-3-4-8-11-13(14)12-9-6-5-7-10-12/h5-7,9-10H,2-4,8,11H2,1H3",UXMQORVHJMUQFD-UHFFFAOYSA-N,0,0.8699,0.8476,0.02445801,0
O=C(Oc1ccccc1)c1ccccc1,93-99-2,-8.210529739,-8.051748615,-7.111187502,-7.791155285,0,0.133788151,0.168934179,0,0.791954307,93-99-2,93-99-2,28185,48210,DTXSID0048210,Phenyl benzoate,O=C(Oc1ccccc1)c1ccccc1,InChI=1S/C13H10O2/c14-13(11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H,FCJSHPDYVMKCHI-UHFFFAOYSA-N,0,0.8939,0.8768,0.016344793,0
CC(C)(Oc1ccc(Cl)cc1)C(=O)OCC,637-07-0,-7.238892525,-7.573971654,-7.109255714,-7.307373298,0,0.133664615,0.169026307,0,0.790791784,637-07-0,637-07-0,336,20336,DTXSID3020336,Clofibrate,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCC,"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",KNHUKKLJHYUCFP-UHFFFAOYSA-N,0,0.8571,0.8687,0.266367418,0
CC(C)N(C(=O)CCl)c1ccccc1,1918-16-7,-7.56268537,-7.857166939,-7.10749,-7.509114103,0,0.133551684,0.169110423,0,0.789730648,1918-16-7,1918-16-7,4274,24274,DTXSID4024274,Propachlor,CC(C)N(C(=O)CCl)c1ccccc1,"InChI=1S/C11H14ClNO/c1-9(2)13(11(14)8-12)10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",MFOUDYKPLGXPGO-UHFFFAOYSA-N,0,0.879,0.8699,0.043401323,0
CC1CCC(CC=1)C(C)(C)OC(C)=O,80-26-2,-6.856464283,-6.721152282,-7.090880793,-6.889499119,0,0.13248868,0.169897289,0,0.779816331,80-26-2,80-26-2,6496,26496,DTXSID2026496,alpha-Terpinyl acetate,CC1CCC(CC=1)C(C)(C)OC(C)=O,"InChI=1S/C12H20O2/c1-9-5-7-11(8-6-9)12(3,4)14-10(2)13/h5,11H,6-8H2,1-4H3",IGODOXYLBBXFDW-UHFFFAOYSA-N,0,0.895,0.9032,0.079325728,0
,112-63-0,0,0,-7.090250104,-2.363416701,1,0.132448292,0.169927011,0,0.779442248,112-63-0,112-63-0,843,20843,DTXSID7020843,Methyl linoleate,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,"InChI=1S/C19H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8,10-11H,3-6,9,12-18H2,1-2H3/b8-7-,11-10-",WTTJVINHCBCLGX-NQLNTKRDSA-N,1,0.921,0.8953,0.003895558,0
CC(C)(C)C(=O)c1ccccc1,938-16-9,-7.44898017,-7.476290684,-7.088129265,-7.33780004,0,0.132312463,0.170026875,0,0.77818558,938-16-9,938-16-9,28184,48209,DTXSID1048209,tert-Butyl phenyl ketone,CC(C)(C)C(=O)c1ccccc1,"InChI=1S/C11H14O/c1-11(2,3)10(12)9-7-5-4-6-8-9/h4-8H,1-3H3",OECPUBRNDKXFDX-UHFFFAOYSA-N,0,0.8802,0.8691,0.036354315,0
